round,agent,action,clicks,payout,profit,timestamp
0,takeshi,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.602348
0,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.602512
0,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.602614
0,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.602691
0,yuzu,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.602743
1,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.602819
1,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.602875
1,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.602966
1,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.603056
1,yuzu,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.603126
2,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.603194
2,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.603263
2,lelouch,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.603324
2,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.603389
2,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.603453
3,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.603502
3,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.603565
3,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.603628
3,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.603692
3,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.603756
4,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.603821
4,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.603887
4,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.603951
4,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.604014
4,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.604077
5,takeshi,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.604135
5,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.604200
5,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.604264
5,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.604328
5,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.604392
6,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.604458
6,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.604521
6,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.604585
6,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.604649
6,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.604713
7,takeshi,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.604752
7,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.604791
7,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.604858
7,senku,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.604899
7,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.604962
8,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.605028
8,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.605091
8,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.605155
8,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.605219
8,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.605282
9,takeshi,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.605322
9,kazuya,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.605378
9,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.605441
9,senku,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.605498
9,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.605561
10,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.605625
10,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.605688
10,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.605751
10,senku,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.605800
10,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.605868
11,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.605932
11,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.605995
11,lelouch,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.606044
11,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.606107
11,yuzu,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.606164
12,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.606232
12,kazuya,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.606281
12,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.606344
12,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.606408
12,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.606473
13,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.606524
13,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.606588
13,lelouch,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.606645
13,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.606709
13,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.606772
14,takeshi,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.606812
14,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.606882
14,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.606946
14,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.607009
14,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.607072
15,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.607136
15,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.607210
15,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.607277
15,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.607341
15,yuzu,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.607380
16,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.607447
16,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.607510
16,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.607573
16,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.607636
16,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.607699
17,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.607765
17,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.607829
17,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.607898
17,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.607962
17,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.608024
18,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.608088
18,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.608128
18,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.608191
18,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.608255
18,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.608318
19,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.608367
19,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.608432
19,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.608497
19,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.608560
19,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.608625
20,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.608689
20,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.608752
20,lelouch,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.608800
20,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.608868
20,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.608931
21,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.608995
21,kazuya,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.609051
