round,agent,profit,total_profit
0,takeshi,15.0,15.0
0,kazuya,15.0,15.0
0,lelouch,15.0,15.0
0,senku,15.0,15.0
0,yuzu,15.0,15.0
1,takeshi,-10.0,5.0
1,kazuya,15.0,30.0
1,lelouch,15.0,30.0
1,senku,15.0,30.0
1,yuzu,15.0,30.0
2,takeshi,15.0,20.0
2,kazuya,15.0,45.0
2,lelouch,15.0,45.0
2,senku,15.0,45.0
2,yuzu,15.0,45.0
3,takeshi,-10.0,10.0
3,kazuya,-10.0,35.0
3,lelouch,15.0,60.0
3,senku,15.0,60.0
3,yuzu,15.0,60.0
4,takeshi,15.0,25.0
4,kazuya,15.0,50.0
4,lelouch,15.0,75.0
4,senku,15.0,75.0
4,yuzu,15.0,75.0
5,takeshi,15.0,40.0
5,kazuya,15.0,65.0
5,lelouch,15.0,90.0
5,senku,-10.0,65.0
5,yuzu,-10.0,65.0
6,takeshi,-10.0,30.0
6,kazuya,15.0,80.0
6,lelouch,15.0,105.0
6,senku,15.0,80.0
6,yuzu,-10.0,55.0
7,takeshi,15.0,45.0
7,kazuya,15.0,95.0
7,lelouch,-10.0,95.0
7,senku,15.0,95.0
7,yuzu,-10.0,45.0
8,takeshi,15.0,60.0
8,kazuya,15.0,110.0
8,lelouch,-10.0,85.0
8,senku,15.0,110.0
8,yuzu,15.0,60.0
9,takeshi,15.0,75.0
9,kazuya,-10.0,100.0
9,lelouch,15.0,100.0
9,senku,15.0,125.0
9,yuzu,15.0,75.0
10,takeshi,15.0,90.0
10,kazuya,15.0,115.0
10,lelouch,15.0,115.0
10,senku,15.0,140.0
10,yuzu,15.0,90.0
11,takeshi,-10.0,80.0
11,kazuya,15.0,130.0
11,lelouch,15.0,130.0
11,senku,-10.0,130.0
11,yuzu,15.0,105.0
12,takeshi,15.0,95.0
12,kazuya,15.0,145.0
12,lelouch,15.0,145.0
12,senku,15.0,145.0
12,yuzu,15.0,120.0
13,takeshi,15.0,110.0
13,kazuya,15.0,160.0
13,lelouch,15.0,160.0
13,senku,15.0,160.0
13,yuzu,15.0,135.0
14,takeshi,15.0,125.0
14,kazuya,-10.0,150.0
14,lelouch,15.0,175.0
14,senku,15.0,175.0
14,yuzu,15.0,150.0
15,takeshi,15.0,140.0
15,kazuya,-10.0,140.0
15,lelouch,15.0,190.0
15,senku,15.0,190.0
15,yuzu,15.0,165.0
16,takeshi,15.0,155.0
16,kazuya,15.0,155.0
16,lelouch,15.0,205.0
16,senku,15.0,205.0
16,yuzu,-10.0,155.0
17,takeshi,15.0,170.0
17,kazuya,15.0,170.0
17,lelouch,-10.0,195.0
17,senku,15.0,220.0
17,yuzu,15.0,170.0
18,takeshi,-10.0,160.0
18,kazuya,15.0,185.0
18,lelouch,15.0,210.0
18,senku,-10.0,210.0
18,yuzu,15.0,185.0
19,takeshi,15.0,175.0
19,kazuya,15.0,200.0
19,lelouch,-10.0,200.0
19,senku,15.0,225.0
19,yuzu,15.0,200.0
20,takeshi,15.0,190.0
20,kazuya,15.0,215.0
20,lelouch,15.0,215.0
20,senku,15.0,240.0
20,yuzu,15.0,215.0
21,takeshi,15.0,205.0
21,kazuya,-10.0,205.0
21,lelouch,15.0,230.0
21,senku,-10.0,230.0
21,yuzu,15.0,230.0
22,takeshi,15.0,220.0
22,kazuya,15.0,220.0
22,lelouch,15.0,245.0
22,senku,15.0,245.0
22,yuzu,15.0,245.0
23,takeshi,-10.0,210.0
23,kazuya,15.0,235.0
23,lelouch,15.0,260.0
23,senku,15.0,260.0
23,yuzu,15.0,260.0
24,takeshi,15.0,225.0
24,kazuya,15.0,250.0
24,lelouch,-10.0,250.0
24,senku,15.0,275.0
24,yuzu,-10.0,250.0
25,takeshi,15.0,240.0
25,kazuya,15.0,265.0
25,lelouch,-10.0,240.0
25,senku,15.0,290.0
25,yuzu,15.0,265.0
26,takeshi,-10.0,230.0
26,kazuya,15.0,280.0
26,lelouch,15.0,255.0
26,senku,-10.0,280.0
26,yuzu,15.0,280.0
27,takeshi,15.0,245.0
27,kazuya,-10.0,270.0
27,lelouch,-10.0,245.0
27,senku,15.0,295.0
27,yuzu,15.0,295.0
28,takeshi,-10.0,235.0
28,kazuya,-10.0,260.0
28,lelouch,15.0,260.0
28,senku,15.0,310.0
28,yuzu,15.0,310.0
29,takeshi,15.0,250.0
29,kazuya,15.0,275.0
29,lelouch,15.0,275.0
29,senku,-10.0,300.0
29,yuzu,15.0,325.0
30,takeshi,15.0,265.0
30,kazuya,15.0,290.0
30,lelouch,15.0,290.0
30,senku,15.0,315.0
